Shakib	 is enrolled in course	C	 offered by	BUET
Tamim	 is enrolled in course	C++	 offered by	KUET
Shamsur	 is enrolled in course	Java	 offered by	SUST
Mominul	 is enrolled in course	Algorithm	 offered by	RUET
Mushfiq	 is enrolled in course	Discrete	 offered by	CUET
Nayeem	 is enrolled in course	python	 offered by	BUET
Anamul	 is enrolled in course	Concrete	 offered by	KUET
Gazi	 is enrolled in course	Database	 offered by	SUST
Mahmudullah	 is enrolled in course	Compiler	 offered by	RUET
Rubel	 is enrolled in course	AI	 offered by	CUET
Mashrafee	 is enrolled in course	C	 offered by	BUET
Razzak	 is enrolled in course	C++	 offered by	KUET
Zia	 is enrolled in course	Java	 offered by	SUST
Zonaid	 is enrolled in course	Algorithm	 offered by	RUET
Sunny	 is enrolled in course	Discrete	 offered by	CUET
Shafiul	 is enrolled in course	python	 offered by	BUET
Imrul	 is enrolled in course	Concrete	 offered by	KUET
Reza	 is enrolled in course	Database	 offered by	SUST
Johrul	 is enrolled in course	Compiler	 offered by	RUET
Alamin	 is enrolled in course	AI	 offered by	CUET
